CARD	LEW	D
CUY3.1	HST1.1	0.097284
CUY3.1	HST2.1	0.094459
CUY3.1	HST5.1b	0.094062
CUY3.1	Holly	0.087376
CUY3.1	IOM3.1.1	0.083898
CUY3.1	JAC1.1	0.085747
CUY3.1	JAC2.1	0.087178
CUY3.1	JAC4.1	0.083829
CUY3.1	LH217.1	0.085757
CUY3.1	LH223.1	0.084329
CUY3.1	LH266.1	0.089431
CUY3.1	PPK1.1	0.086948
CUY3.1	PPK5.1	0.085479
CUY3.1	SNO8.1	0.095557
CUY3.1	SPC.3.1	0.076389
CUY3.1	SPC.5.1b	0.073473
CUY3.1	YL51.1	0.073458
GRM4.1	Car-L1.1	0.105232
GRM4.1	Car-L10.1	0.103171
GRM4.1	Car-L8.1b	0.10324
GRM4.1	FAL6.1b	0.096822
GRM4.1	FAL7.1	0.099592
GRM4.1	FAL8.1	0.101269
GRM4.1	HST1.1	0.10532
GRM4.1	HST2.1	0.104488
GRM4.1	HST5.1b	0.103206
GRM4.1	Holly	0.095379
GRM4.1	IOM3.1.1	0.094829
GRM4.1	JAC1.1	0.09415
GRM4.1	JAC2.1	0.096583
GRM4.1	JAC4.1	0.092917
GRM4.1	LH217.1	0.094712
GRM4.1	LH223.1	0.092757
GRM4.1	LH266.1	0.098254
GRM4.1	PPK1.1	0.096651
GRM4.1	PPK5.1	0.095469
GRM4.1	SNO8.1	0.104492
GRM4.1	SPC.3.1	0.086034
GRM4.1	SPC.5.1b	0.083708
GRM4.1	YL51.1	0.084316
GRM5.1	Car-L1.1	0.105187
GRM5.1	Car-L10.1	0.10362
GRM5.1	Car-L8.1b	0.10422
GRM5.1	FAL6.1b	0.098353
GRM5.1	FAL7.1	0.100138
GRM5.1	FAL8.1	0.102479
GRM5.1	HST1.1	0.106395
GRM5.1	HST2.1	0.105498
GRM5.1	HST5.1b	0.10419
GRM5.1	Holly	0.097527
GRM5.1	IOM3.1.1	0.094001
GRM5.1	JAC1.1	0.094263
GRM5.1	JAC2.1	0.097646
GRM5.1	JAC4.1	0.09389
GRM5.1	LH217.1	0.096072
GRM5.1	LH223.1	0.09391
GRM5.1	LH266.1	0.098224
GRM5.1	PPK1.1	0.097684
GRM5.1	PPK5.1	0.096312
GRM5.1	SNO8.1	0.103447
GRM5.1	SPC.3.1	0.086433
GRM5.1	SPC.5.1b	0.083863
GRM5.1	YL51.1	0.08352
IND2.1	Car-L1.1	0.096229
IND2.1	Car-L10.1	0.090736
IND2.1	Car-L8.1b	0.094225
IND2.1	FAL6.1b	0.086279
IND2.1	FAL7.1	0.08755
IND2.1	FAL8.1	0.088021
IND2.1	HST1.1	0.09447
IND2.1	HST2.1	0.093494
IND2.1	HST5.1b	0.092344
IND2.1	Holly	0.083239
IND2.1	IOM3.1.1	0.078727
IND2.1	JAC1.1	0.082653
IND2.1	JAC2.1	0.085704
IND2.1	JAC4.1	0.082039
IND2.1	LH217.1	0.083803
IND2.1	LH223.1	0.081079
IND2.1	LH266.1	0.086156
IND2.1	PPK1.1	0.085303
IND2.1	PPK5.1	0.081928
IND2.1	SNO8.1	0.093642
IND2.1	SPC.3.1	0.073447
IND2.1	SPC.5.1b	0.069006
IND2.1	YL51.1	0.071349
IND5.1	Car-L1.1	0.094497
IND5.1	Car-L10.1	0.090091
IND5.1	Car-L8.1b	0.092972
IND5.1	FAL6.1b	0.085547
IND5.1	FAL7.1	0.08684
IND5.1	FAL8.1	0.087819
IND5.1	HST1.1	0.094039
IND5.1	HST2.1	0.09317
IND5.1	HST5.1b	0.09213
IND5.1	Holly	0.082539
IND5.1	IOM3.1.1	0.077855
IND5.1	JAC1.1	0.082578
IND5.1	JAC2.1	0.085356
IND5.1	JAC4.1	0.08194
IND5.1	LH217.1	0.082961
IND5.1	LH223.1	0.080126
IND5.1	LH266.1	0.085786
IND5.1	PPK1.1	0.085063
IND5.1	PPK5.1	0.081639
IND5.1	SNO8.1	0.09279
IND5.1	SPC.3.1	0.072395
IND5.1	SPC.5.1b	0.067659
IND5.1	YL51.1	0.070253
IND6.1	Car-L1.1	0.095371
IND6.1	Car-L10.1	0.091962
IND6.1	Car-L8.1b	0.093625
IND6.1	FAL6.1b	0.08492
IND6.1	FAL7.1	0.086092
IND6.1	FAL8.1	0.087084
IND6.1	HST1.1	0.095187
IND6.1	HST2.1	0.094184
IND6.1	HST5.1b	0.093613
IND6.1	Holly	0.083065
IND6.1	IOM3.1.1	0.080721
IND6.1	JAC1.1	0.082185
IND6.1	JAC2.1	0.08472
IND6.1	JAC4.1	0.080987
IND6.1	LH217.1	0.08292
IND6.1	LH223.1	0.079911
IND6.1	LH266.1	0.085764
IND6.1	PPK1.1	0.084706
IND6.1	PPK5.1	0.081203
IND6.1	SNO8.1	0.093633
IND6.1	SPC.3.1	0.074658
IND6.1	SPC.5.1b	0.070686
IND6.1	YL51.1	0.072308
MNZ1.1	Car-L1.1	0.105746
MNZ1.1	Car-L10.1	0.100136
MNZ1.1	Car-L8.1b	0.102969
MNZ1.1	FAL6.1b	0.098144
MNZ1.1	FAL7.1	0.09786
MNZ1.1	FAL8.1	0.099144
MNZ1.1	HST1.1	0.104616
MNZ1.1	HST2.1	0.103111
MNZ1.1	HST5.1b	0.102181
MNZ1.1	Holly	0.09374
MNZ1.1	IOM3.1.1	0.089676
MNZ1.1	JAC1.1	0.092431
MNZ1.1	JAC2.1	0.09479
MNZ1.1	JAC4.1	0.092956
MNZ1.1	LH217.1	0.094014
MNZ1.1	LH223.1	0.091153
MNZ1.1	LH266.1	0.097917
MNZ1.1	PPK1.1	0.096165
MNZ1.1	PPK5.1	0.094665
MNZ1.1	SNO8.1	0.102616
MNZ1.1	SPC.3.1	0.08198
MNZ1.1	SPC.5.1b	0.079971
MNZ1.1	YL51.1	0.079248
MNZ2.1	Car-L1.1	0.105479
MNZ2.1	Car-L10.1	0.099343
MNZ2.1	Car-L8.1b	0.103739
MNZ2.1	FAL6.1b	0.095531
MNZ2.1	FAL7.1	0.095782
MNZ2.1	FAL8.1	0.097546
MNZ2.1	HST1.1	0.105443
MNZ2.1	HST2.1	0.103528
MNZ2.1	HST5.1b	0.102844
MNZ2.1	Holly	0.091557
MNZ2.1	IOM3.1.1	0.091392
MNZ2.1	JAC1.1	0.091982
MNZ2.1	JAC2.1	0.094215
MNZ2.1	JAC4.1	0.092281
MNZ2.1	LH217.1	0.092476
MNZ2.1	LH223.1	0.090759
MNZ2.1	LH266.1	0.097071
MNZ2.1	PPK1.1	0.09531
MNZ2.1	PPK5.1	0.092561
MNZ2.1	SNO8.1	0.103024
MNZ2.1	SPC.3.1	0.084143
MNZ2.1	SPC.5.1b	0.081058
MNZ2.1	YL51.1	0.080209
ONC1.1	Car-L1.1	0.094931
ONC1.1	Car-L10.1	0.090854
ONC1.1	Car-L8.1b	0.093375
ONC1.1	FAL6.1b	0.084884
ONC1.1	FAL7.1	0.085273
ONC1.1	FAL8.1	0.085902
ONC1.1	HST1.1	0.095751
ONC1.1	HST2.1	0.094357
ONC1.1	HST5.1b	0.093706
ONC1.1	Holly	0.082958
ONC1.1	IOM3.1.1	0.078204
ONC1.1	JAC1.1	0.082135
ONC1.1	JAC2.1	0.084017
ONC1.1	JAC4.1	0.081882
ONC1.1	LH217.1	0.082722
ONC1.1	LH223.1	0.078923
ONC1.1	LH266.1	0.084883
ONC1.1	PPK1.1	0.084895
ONC1.1	PPK5.1	0.081872
ONC1.1	SNO8.1	0.092783
ONC1.1	SPC.3.1	0.071905
ONC1.1	SPC.5.1b	0.067999
ONC1.1	YL51.1	0.069268
ONC2.1	Car-L1.1	0.094973
ONC2.1	Car-L10.1	0.093219
ONC2.1	Car-L8.1b	0.096232
ONC2.1	FAL6.1b	0.086337
ONC2.1	FAL7.1	0.086899
ONC2.1	FAL8.1	0.087494
ONC2.1	HST1.1	0.097987
ONC2.1	HST2.1	0.097693
ONC2.1	HST5.1b	0.096668
ONC2.1	Holly	0.08573
ONC2.1	IOM3.1.1	0.08247
ONC2.1	JAC1.1	0.083735
ONC2.1	JAC2.1	0.085295
ONC2.1	JAC4.1	0.082562
ONC2.1	LH217.1	0.084018
ONC2.1	LH223.1	0.081281
ONC2.1	LH266.1	0.08754
ONC2.1	PPK1.1	0.086706
ONC2.1	PPK5.1	0.083538
ONC2.1	SNO8.1	0.094407
ONC2.1	SPC.3.1	0.075825
ONC2.1	SPC.5.1b	0.071934
ONC2.1	YL51.1	0.07264
ONC3.1	Car-L1.1	0.094533
ONC3.1	Car-L10.1	0.091818
ONC3.1	Car-L8.1b	0.095008
ONC3.1	FAL6.1b	0.084732
ONC3.1	FAL7.1	0.084947
ONC3.1	FAL8.1	0.08599
ONC3.1	HST1.1	0.097206
ONC3.1	HST2.1	0.095822
ONC3.1	HST5.1b	0.094837
ONC3.1	Holly	0.084898
ONC3.1	IOM3.1.1	0.082133
ONC3.1	JAC1.1	0.082061
ONC3.1	JAC2.1	0.08393
ONC3.1	JAC4.1	0.081738
ONC3.1	LH217.1	0.082742
ONC3.1	LH223.1	0.079369
ONC3.1	LH266.1	0.085716
ONC3.1	PPK1.1	0.085327
ONC3.1	PPK5.1	0.081577
ONC3.1	SNO8.1	0.09354
ONC3.1	SPC.3.1	0.073605
ONC3.1	SPC.5.1b	0.070291
ONC3.1	YL51.1	0.072037
RED11.1	Car-L1.1	0.094303
RED11.1	Car-L10.1	0.090521
RED11.1	Car-L8.1b	0.093618
RED11.1	FAL6.1b	0.086949
RED11.1	FAL7.1	0.087931
RED11.1	FAL8.1	0.087654
RED11.1	HST1.1	0.095637
RED11.1	HST2.1	0.095046
RED11.1	HST5.1b	0.093581
RED11.1	Holly	0.083363
RED11.1	IOM3.1.1	0.081251
RED11.1	JAC1.1	0.084038
RED11.1	JAC2.1	0.085978
RED11.1	JAC4.1	0.082701
RED11.1	LH217.1	0.084746
RED11.1	LH223.1	0.081271
RED11.1	LH266.1	0.087423
RED11.1	PPK1.1	0.085931
RED11.1	PPK5.1	0.082916
RED11.1	SNO8.1	0.093745
RED11.1	SPC.3.1	0.07333
RED11.1	SPC.5.1b	0.069169
RED11.1	YL51.1	0.071314
RED15.1	Car-L1.1	0.092777
RED15.1	Car-L10.1	0.08988
RED15.1	Car-L8.1b	0.092067
RED15.1	FAL6.1b	0.084638
RED15.1	FAL7.1	0.084989
RED15.1	FAL8.1	0.08564
RED15.1	HST1.1	0.094101
RED15.1	HST2.1	0.093108
RED15.1	HST5.1b	0.091944
RED15.1	Holly	0.082934
RED15.1	IOM3.1.1	0.076208
RED15.1	JAC1.1	0.081406
RED15.1	JAC2.1	0.083984
RED15.1	JAC4.1	0.080457
RED15.1	LH217.1	0.082053
RED15.1	LH223.1	0.078575
RED15.1	LH266.1	0.085243
RED15.1	PPK1.1	0.083815
RED15.1	PPK5.1	0.081197
RED15.1	SNO8.1	0.091222
RED15.1	SPC.3.1	0.069601
RED15.1	SPC.5.1b	0.066041
RED15.1	YL51.1	0.067438
RED17.1	Car-L1.1	0.095497
RED17.1	Car-L10.1	0.09153
RED17.1	Car-L8.1b	0.092795
RED17.1	FAL6.1b	0.087761
RED17.1	FAL7.1	0.087626
RED17.1	FAL8.1	0.087909
RED17.1	HST1.1	0.095367
RED17.1	HST2.1	0.094591
RED17.1	HST5.1b	0.093374
RED17.1	Holly	0.083561
RED17.1	IOM3.1.1	0.080457
RED17.1	JAC1.1	0.08331
RED17.1	JAC2.1	0.087238
RED17.1	JAC4.1	0.083621
RED17.1	LH217.1	0.08547
RED17.1	LH223.1	0.081519
RED17.1	LH266.1	0.088319
RED17.1	PPK1.1	0.08703
RED17.1	PPK5.1	0.084046
RED17.1	SNO8.1	0.093949
RED17.1	SPC.3.1	0.072931
RED17.1	SPC.5.1b	0.068509
RED17.1	YL51.1	0.070351
RED18.1	Car-L1.1	0.09075
RED18.1	Car-L10.1	0.088481
RED18.1	Car-L8.1b	0.090577
RED18.1	FAL6.1b	0.081537
RED18.1	FAL7.1	0.082801
RED18.1	FAL8.1	0.083363
RED18.1	HST1.1	0.09255
RED18.1	HST2.1	0.091967
RED18.1	HST5.1b	0.091026
RED18.1	Holly	0.081314
RED18.1	IOM3.1.1	0.075417
RED18.1	JAC1.1	0.077293
RED18.1	JAC2.1	0.080685
RED18.1	JAC4.1	0.07639
RED18.1	LH217.1	0.07985
RED18.1	LH223.1	0.075999
RED18.1	LH266.1	0.083031
RED18.1	PPK1.1	0.08103
RED18.1	PPK5.1	0.078275
RED18.1	SNO8.1	0.088964
RED18.1	SPC.3.1	0.068066
RED18.1	SPC.5.1b	0.064001
RED18.1	YL51.1	0.066406
RED9.119	Car-L1.1	0.091242
RED9.119	Car-L10.1	0.086828
RED9.119	Car-L8.1b	0.089181
RED9.119	FAL6.1b	0.081129
RED9.119	FAL7.1	0.081782
RED9.119	FAL8.1	0.082796
RED9.119	HST1.1	0.089938
RED9.119	HST2.1	0.089097
RED9.119	HST5.1b	0.088075
RED9.119	Holly	0.078484
RED9.119	IOM3.1.1	0.07549
RED9.119	JAC1.1	0.077971
RED9.119	JAC2.1	0.080478
RED9.119	JAC4.1	0.076994
RED9.119	LH217.1	0.078861
RED9.119	LH223.1	0.075491
RED9.119	LH266.1	0.082175
RED9.119	PPK1.1	0.081338
RED9.119	PPK5.1	0.077794
RED9.119	SNO8.1	0.089141
RED9.119	SPC.3.1	0.068891
RED9.119	SPC.5.1b	0.064205
RED9.119	YL51.1	0.067001
SHV.1.1	Car-L1.1	0.101222
SHV.1.1	Car-L10.1	0.097443
SHV.1.1	Car-L8.1b	0.10011
SHV.1.1	FAL6.1b	0.091098
SHV.1.1	FAL7.1	0.091565
SHV.1.1	FAL8.1	0.092844
SHV.1.1	HST1.1	0.102459
SHV.1.1	HST2.1	0.101323
SHV.1.1	HST5.1b	0.100161
SHV.1.1	Holly	0.094134
SHV.1.1	IOM3.1.1	0.087843
SHV.1.1	JAC1.1	0.086785
SHV.1.1	JAC2.1	0.090656
SHV.1.1	JAC4.1	0.085291
SHV.1.1	LH217.1	0.089864
SHV.1.1	LH223.1	0.086188
SHV.1.1	LH266.1	0.091073
SHV.1.1	PPK1.1	0.089592
SHV.1.1	PPK5.1	0.089015
SHV.1.1	SNO8.1	0.099135
SHV.1.1	SPC.3.1	0.078645
SHV.1.1	SPC.5.1b	0.076865
SHV.1.1	YL51.1	0.077064
SLA1.1	Car-L1.1	0.092686
SLA1.1	Car-L10.1	0.089271
SLA1.1	Car-L8.1b	0.092182
SLA1.1	FAL6.1b	0.084927
SLA1.1	FAL7.1	0.085272
SLA1.1	FAL8.1	0.086495
SLA1.1	HST1.1	0.093004
SLA1.1	HST2.1	0.091899
SLA1.1	HST5.1b	0.090877
SLA1.1	Holly	0.082169
SLA1.1	IOM3.1.1	0.077119
SLA1.1	JAC1.1	0.081503
SLA1.1	JAC2.1	0.083681
SLA1.1	JAC4.1	0.080259
SLA1.1	LH217.1	0.082128
SLA1.1	LH223.1	0.079776
SLA1.1	LH266.1	0.085611
SLA1.1	PPK1.1	0.083727
SLA1.1	PPK5.1	0.082097
SLA1.1	SNO8.1	0.092152
SLA1.1	SPC.3.1	0.071238
SLA1.1	SPC.5.1b	0.066158
SLA1.1	YL51.1	0.069336
SLA3.1	Car-L1.1	0.091943
SLA3.1	Car-L10.1	0.088664
SLA3.1	Car-L8.1b	0.09085
SLA3.1	FAL6.1b	0.083114
SLA3.1	FAL7.1	0.082832
SLA3.1	FAL8.1	0.08362
SLA3.1	HST1.1	0.092537
SLA3.1	HST2.1	0.091071
SLA3.1	HST5.1b	0.089966
SLA3.1	Holly	0.081616
SLA3.1	IOM3.1.1	0.074834
SLA3.1	JAC1.1	0.078566
SLA3.1	JAC2.1	0.081801
SLA3.1	JAC4.1	0.078215
SLA3.1	LH217.1	0.080045
SLA3.1	LH223.1	0.0771
SLA3.1	LH266.1	0.083917
SLA3.1	PPK1.1	0.08189
SLA3.1	PPK5.1	0.07967
SLA3.1	SNO8.1	0.089955
SLA3.1	SPC.3.1	0.068711
SLA3.1	SPC.5.1b	0.063336
SLA3.1	YL51.1	0.066489
SLA5.1	Car-L1.1	0.094594
SLA5.1	Car-L10.1	0.092121
SLA5.1	Car-L8.1b	0.094274
SLA5.1	FAL6.1b	0.087133
SLA5.1	FAL7.1	0.086314
SLA5.1	FAL8.1	0.087336
SLA5.1	HST1.1	0.096187
SLA5.1	HST2.1	0.095326
SLA5.1	HST5.1b	0.094449
SLA5.1	Holly	0.085745
SLA5.1	IOM3.1.1	0.079446
SLA5.1	JAC1.1	0.082748
SLA5.1	JAC2.1	0.085822
SLA5.1	JAC4.1	0.082428
SLA5.1	LH217.1	0.083549
SLA5.1	LH223.1	0.080678
SLA5.1	LH266.1	0.087883
SLA5.1	PPK1.1	0.085647
SLA5.1	PPK5.1	0.083383
SLA5.1	SNO8.1	0.093901
SLA5.1	SPC.3.1	0.071561
SLA5.1	SPC.5.1b	0.066866
SLA5.1	YL51.1	0.070337
WFM1.1	Car-L1.1	0.110859
WFM1.1	Car-L10.1	0.10702
WFM1.1	Car-L8.1b	0.108674
WFM1.1	FAL6.1b	0.102427
WFM1.1	FAL7.1	0.102159
WFM1.1	FAL8.1	0.103422
WFM1.1	HST1.1	0.109481
WFM1.1	HST2.1	0.108356
WFM1.1	HST5.1b	0.107685
WFM1.1	Holly	0.100569
WFM1.1	IOM3.1.1	0.093927
WFM1.1	JAC1.1	0.097625
WFM1.1	JAC2.1	0.100089
WFM1.1	JAC4.1	0.097951
WFM1.1	LH217.1	0.098938
WFM1.1	LH223.1	0.095871
WFM1.1	LH266.1	0.102905
WFM1.1	PPK1.1	0.100784
WFM1.1	PPK5.1	0.098944
WFM1.1	SNO8.1	0.109113
WFM1.1	SPC.3.1	0.085422
WFM1.1	SPC.5.1b	0.082042
WFM1.1	YL51.1	0.082224
