# LG	Marker	cM	Scaffold	Scaffold Orientation	Scaffold BP	LG BP	NodeIndex
1	15183	5.38	tig00002369_pilon	-	4437862	326063	1
1	15182	5.38	tig00002369_pilon	-	4437840	326085	1
1	15181	5.38	tig00002369_pilon	-	4437639	326286	1
1	15180	5.38	tig00002369_pilon	-	4437609	326316	1
1	15179	5.38	tig00002369_pilon	-	4437480	326445	1
1	15178	5.38	tig00002369_pilon	-	4437444	326481	1
1	15177	5.38	tig00002369_pilon	-	4437433	326492	1
1	15176	5.38	tig00002369_pilon	-	4437085	326840	1
1	15175	5.38	tig00002369_pilon	-	4436843	327082	1
1	15174	5.38	tig00002369_pilon	-	4434236	329689	1
1	15173	5.38	tig00002369_pilon	-	4434177	329748	1
1	15172	5.38	tig00002369_pilon	-	4434172	329753	1
1	15171	5.38	tig00002369_pilon	-	4434171	329754	1
1	15170	5.38	tig00002369_pilon	-	4434108	329817	1
1	15169	5.38	tig00002369_pilon	-	4433832	330093	1
1	15168	5.38	tig00002369_pilon	-	4433778	330147	1
1	15167	5.38	tig00002369_pilon	-	4433747	330178	1
1	15166	5.38	tig00002369_pilon	-	4433721	330204	1
1	15165	5.38	tig00002369_pilon	-	4433427	330498	1
1	15164	5.38	tig00002369_pilon	-	4433338	330587	1
1	15163	5.38	tig00002369_pilon	-	4433228	330697	1
1	15162	5.38	tig00002369_pilon	-	4433189	330736	1
1	15161	5.38	tig00002369_pilon	-	4432836	331089	1
1	15160	5.38	tig00002369_pilon	-	4427403	336522	1
1	15159	5.38	tig00002369_pilon	-	4427268	336657	1
1	15158	5.38	tig00002369_pilon	-	4426903	337022	1
1	15157	6.45	tig00002369_pilon	-	4418346	345579	1
1	15152	6.45	tig00002369_pilon	-	4379386	384539	1
1	15151	6.45	tig00002369_pilon	-	4379366	384559	1
1	15150	6.45	tig00002369_pilon	-	4379256	384669	1
1	15149	6.45	tig00002369_pilon	-	4379255	384670	1
1	15148	6.45	tig00002369_pilon	-	4379238	384687	1
1	15147	6.45	tig00002369_pilon	-	4379185	384740	1
1	15146	6.45	tig00002369_pilon	-	4379182	384743	1
1	15145	6.45	tig00002369_pilon	-	4379106	384819	1
1	15144	6.45	tig00002369_pilon	-	4379053	384872	1
1	15143	6.45	tig00002369_pilon	-	4379035	384890	1
1	15142	6.45	tig00002369_pilon	-	4379029	384896	1
1	15141	6.45	tig00002369_pilon	-	4379027	384898	1
1	15140	6.45	tig00002369_pilon	-	4379019	384906	1
1	15139	6.45	tig00002369_pilon	-	4379015	384910	1
1	15138	6.45	tig00002369_pilon	-	4379009	384916	1
1	15137	6.45	tig00002369_pilon	-	4378977	384948	1
1	15136	6.45	tig00002369_pilon	-	4378926	384999	1
1	15135	6.45	tig00002369_pilon	-	4378871	385054	1
1	15134	6.45	tig00002369_pilon	-	4378783	385142	1
1	15133	6.45	tig00002369_pilon	-	4378754	385171	1
1	15132	6.45	tig00002369_pilon	-	4378715	385210	1
1	15131	6.45	tig00002369_pilon	-	4378670	385255	1
1	15130	6.45	tig00002369_pilon	-	4378599	385326	1
1	15129	6.45	tig00002369_pilon	-	4378597	385328	1
1	15128	6.45	tig00002369_pilon	-	4378596	385329	1
1	15127	6.45	tig00002369_pilon	-	4378585	385340	1
1	15126	6.45	tig00002369_pilon	-	4378501	385424	1
1	15125	6.99	tig00002369_pilon	-	4378419	385506	1
1	15124	6.99	tig00002369_pilon	-	4378403	385522	1
1	15123	6.99	tig00002369_pilon	-	4378375	385550	1
1	15122	6.99	tig00002369_pilon	-	4376786	387139	1
1	15121	6.99	tig00002369_pilon	-	4376751	387174	1
1	15120	6.99	tig00002369_pilon	-	4376748	387177	1
1	15119	6.99	tig00002369_pilon	-	4376715	387210	1
1	15118	6.99	tig00002369_pilon	-	4376684	387241	1
1	15117	6.99	tig00002369_pilon	-	4376609	387316	1
1	15116	6.99	tig00002369_pilon	-	4376459	387466	1
1	15113	6.99	tig00002369_pilon	-	4369245	394680	1
1	15112	6.99	tig00002369_pilon	-	4368945	394980	1
1	15111	7.53	tig00002369_pilon	-	4348713	415212	1
1	15110	7.53	tig00002369_pilon	-	4348569	415356	1
1	15109	7.53	tig00002369_pilon	-	4348343	415582	1
1	15108	7.53	tig00002369_pilon	-	4348338	415587	1
1	15107	7.53	tig00002369_pilon	-	4348332	415593	1
1	15106	7.53	tig00002369_pilon	-	4348325	415600	1
1	15105	7.53	tig00002369_pilon	-	4348321	415604	1
1	15104	7.53	tig00002369_pilon	-	4348290	415635	1
1	15103	7.53	tig00002369_pilon	-	4348207	415718	1
1	15102	7.53	tig00002369_pilon	-	4348139	415786	1
1	15101	7.53	tig00002369_pilon	-	4348125	415800	1
1	15100	7.53	tig00002369_pilon	-	4348081	415844	1
1	15099	7.53	tig00002369_pilon	-	4343271	420654	1
1	15098	7.53	tig00002369_pilon	-	4342852	421073	1
1	15097	7.53	tig00002369_pilon	-	4342828	421097	1
1	15096	7.53	tig00002369_pilon	-	4342659	421266	1
1	15095	7.53	tig00002369_pilon	-	4342397	421528	1
1	15094	7.53	tig00002369_pilon	-	4342372	421553	1
1	15093	7.53	tig00002369_pilon	-	4342316	421609	1
1	15092	7.53	tig00002369_pilon	-	4342294	421631	1
1	15091	7.53	tig00002369_pilon	-	4342246	421679	1
1	15090	7.53	tig00002369_pilon	-	4342123	421802	1
1	15086	7.53	tig00002369_pilon	-	4322529	441396	1
1	15085	7.53	tig00002369_pilon	-	4322523	441402	1
1	15084	7.53	tig00002369_pilon	-	4322423	441502	1
1	15083	7.53	tig00002369_pilon	-	4322415	441510	1
1	15082	7.53	tig00002369_pilon	-	4322408	441517	1
1	15081	7.53	tig00002369_pilon	-	4322377	441548	1
1	15080	7.53	tig00002369_pilon	-	4320069	443856	1
1	15079	7.53	tig00002369_pilon	-	4320050	443875	1
1	15078	7.53	tig00002369_pilon	-	4320048	443877	1
1	15077	7.53	tig00002369_pilon	-	4320041	443884	1
1	15076	7.53	tig00002369_pilon	-	4320023	443902	1
1	15075	7.53	tig00002369_pilon	-	4320005	443920	1
1	15074	7.53	tig00002369_pilon	-	4320001	443924	1
1	15073	7.53	tig00002369_pilon	-	4319842	444083	1
1	15072	7.53	tig00002369_pilon	-	4319403	444522	1
1	15071	7.53	tig00002369_pilon	-	4319392	444533	1
1	15070	7.53	tig00002369_pilon	-	4319389	444536	1
1	15069	7.53	tig00002369_pilon	-	4319362	444563	1
1	15068	7.53	tig00002369_pilon	-	4319190	444735	1
1	15067	7.53	tig00002369_pilon	-	4319161	444764	1
1	15066	7.53	tig00002369_pilon	-	4319034	444891	1
1	15061	8.07	tig00002369_pilon	-	4313415	450510	1
1	15060	8.07	tig00002369_pilon	-	4313386	450539	1
1	15059	8.07	tig00002369_pilon	-	4313315	450610	1
1	15058	8.07	tig00002369_pilon	-	4313312	450613	1
1	15057	8.07	tig00002369_pilon	-	4313310	450615	1
1	15056	8.07	tig00002369_pilon	-	4313255	450670	1
1	15055	8.07	tig00002369_pilon	-	4313133	450792	1
1	15054	8.07	tig00002369_pilon	-	4313127	450798	1
1	15053	8.07	tig00002369_pilon	-	4313122	450803	1
1	15052	8.07	tig00002369_pilon	-	4313121	450804	1
1	15051	8.07	tig00002369_pilon	-	4313081	450844	1
1	15050	8.07	tig00002369_pilon	-	4312652	451273	1
1	15049	8.07	tig00002369_pilon	-	4312610	451315	1
1	15048	8.07	tig00002369_pilon	-	4312448	451477	1
1	15031	8.07	tig00002369_pilon	-	4306369	457556	1
1	15030	8.07	tig00002369_pilon	-	4306280	457645	1
1	15029	8.07	tig00002369_pilon	-	4306255	457670	1
1	15028	8.07	tig00002369_pilon	-	4306177	457748	1
1	15026	8.07	tig00002369_pilon	-	4287844	476081	1
1	15025	8.07	tig00002369_pilon	-	4287669	476256	1
1	15024	8.07	tig00002369_pilon	-	4287517	476408	1
1	15000	8.07	tig00002369_pilon	-	4279748	484177	1
1	14999	8.07	tig00002369_pilon	-	4279414	484511	1
1	14998	8.07	tig00002369_pilon	-	4279254	484671	1
1	14997	8.07	tig00002369_pilon	-	4279203	484722	1
1	14996	8.07	tig00002369_pilon	-	4279041	484884	1
1	14995	8.07	tig00002369_pilon	-	4278992	484933	1
1	14994	8.07	tig00002369_pilon	-	4278964	484961	1
1	14993	8.07	tig00002369_pilon	-	4278946	484979	1
1	14992	8.07	tig00002369_pilon	-	4278933	484992	1
1	14991	8.07	tig00002369_pilon	-	4278931	484994	1
1	14983	8.07	tig00002369_pilon	-	4262949	500976	1
1	14982	8.07	tig00002369_pilon	-	4262940	500985	1
1	14981	8.07	tig00002369_pilon	-	4262917	501008	1
1	14980	8.07	tig00002369_pilon	-	4262662	501263	1
1	14979	8.07	tig00002369_pilon	-	4262647	501278	1
1	14899	8.07	tig00002369_pilon	-	4135387	628538	1
1	14898	8.07	tig00002369_pilon	-	4135386	628539	1
1	14897	8.07	tig00002369_pilon	-	4135205	628720	1
1	14896	8.07	tig00002369_pilon	-	4135070	628855	1
1	14895	8.07	tig00002369_pilon	-	4135062	628863	1
1	14894	8.07	tig00002369_pilon	-	4135060	628865	1
1	14893	8.07	tig00002369_pilon	-	4130861	633064	1
1	14892	8.07	tig00002369_pilon	-	4130852	633073	1
1	14891	8.07	tig00002369_pilon	-	4130730	633195	1
1	14890	8.07	tig00002369_pilon	-	4130677	633248	1
1	14889	8.07	tig00002369_pilon	-	4130641	633284	1
1	14880	8.07	tig00002369_pilon	-	4105596	658329	1
1	14780	8.07	tig00002369_pilon	-	4049437	714488	1
1	14779	8.07	tig00002369_pilon	-	4049409	714516	1
1	14778	8.07	tig00002369_pilon	-	4049395	714530	1
1	14777	8.07	tig00002369_pilon	-	4049379	714546	1
1	14776	8.07	tig00002369_pilon	-	4049377	714548	1
1	14775	8.07	tig00002369_pilon	-	4049370	714555	1
1	14774	8.07	tig00002369_pilon	-	4049328	714597	1
1	14773	8.07	tig00002369_pilon	-	4049292	714633	1
1	14772	8.07	tig00002369_pilon	-	4049256	714669	1
1	14771	8.07	tig00002369_pilon	-	4049223	714702	1
1	14770	8.07	tig00002369_pilon	-	4049208	714717	1
1	14744	8.6	tig00002369_pilon	-	4043416	720509	1
1	14743	8.6	tig00002369_pilon	-	4041515	722410	1
1	14742	8.6	tig00002369_pilon	-	4041445	722480	1
1	14741	8.6	tig00002369_pilon	-	4041440	722485	1
1	14740	8.6	tig00002369_pilon	-	4041406	722519	1
1	14739	8.6	tig00002369_pilon	-	4041401	722524	1
1	14738	8.6	tig00002369_pilon	-	4041389	722536	1
1	14737	8.6	tig00002369_pilon	-	4041375	722550	1
1	14736	8.6	tig00002369_pilon	-	4041366	722559	1
1	14735	8.6	tig00002369_pilon	-	4041099	722826	1
1	14734	8.6	tig00002369_pilon	-	4041098	722827	1
1	14733	8.6	tig00002369_pilon	-	4041076	722849	1
1	14732	8.6	tig00002369_pilon	-	4041063	722862	1
1	14731	8.6	tig00002369_pilon	-	4041030	722895	1
1	14730	8.6	tig00002369_pilon	-	4041029	722896	1
1	14729	8.6	tig00002369_pilon	-	4040987	722938	1
1	14728	8.6	tig00002369_pilon	-	4040971	722954	1
1	14727	8.6	tig00002369_pilon	-	4040922	723003	1
1	14706	8.6	tig00002369_pilon	-	4027996	735929	1
1	14705	8.6	tig00002369_pilon	-	4027860	736065	1
1	14704	9.14	tig00002369_pilon	-	3983942	779983	1
1	14703	9.14	tig00002369_pilon	-	3983911	780014	1
1	14702	9.14	tig00002369_pilon	-	3983776	780149	1
1	14701	9.14	tig00002369_pilon	-	3983618	780307	1
1	14700	9.14	tig00002369_pilon	-	3983508	780417	1
1	14676	9.14	tig00002369_pilon	-	3940430	823495	1
1	14675	9.14	tig00002369_pilon	-	3940100	823825	1
1	14674	9.14	tig00002369_pilon	-	3940050	823875	1
1	14673	9.14	tig00002369_pilon	-	3940032	823893	1
1	14672	11.29	tig00002369_pilon	-	3926316	837609	1
1	14671	11.29	tig00002369_pilon	-	3926208	837717	1
1	14670	11.29	tig00002369_pilon	-	3926184	837741	1
1	14669	11.29	tig00002369_pilon	-	3926160	837765	1
1	14668	11.29	tig00002369_pilon	-	3925890	838035	1
1	14667	11.29	tig00002369_pilon	-	3925872	838053	1
1	14666	11.29	tig00002369_pilon	-	3925826	838099	1
1	14665	11.29	tig00002369_pilon	-	3925809	838116	1
1	14664	11.29	tig00002369_pilon	-	3923617	840308	1
1	14663	11.29	tig00002369_pilon	-	3922591	841334	1
1	14662	11.29	tig00002369_pilon	-	3922291	841634	1
1	14661	11.29	tig00002369_pilon	-	3922199	841726	1
1	14593	11.29	tig00002369_pilon	-	3775982	987943	1
1	14592	11.29	tig00002369_pilon	-	3775955	987970	1
1	14591	11.29	tig00002369_pilon	-	3775915	988010	1
1	14590	13.98	tig00002369_pilon	-	3744069	1019856	1
1	14519	13.98	tig00002369_pilon	-	3686875	1077050	1
1	14518	13.98	tig00002369_pilon	-	3686664	1077261	1
1	14517	13.98	tig00002369_pilon	-	3686643	1077282	1
1	14516	13.98	tig00002369_pilon	-	3686534	1077391	1
1	14515	13.98	tig00002369_pilon	-	3686438	1077487	1
1	14509	13.98	tig00002369_pilon	-	3612398	1151527	1
1	14508	13.98	tig00002369_pilon	-	3612017	1151908	1
1	14507	13.98	tig00002369_pilon	-	3611766	1152159	1
1	14506	13.98	tig00002369_pilon	-	3611724	1152201	1
1	14505	13.98	tig00002369_pilon	-	3611721	1152204	1
1	14504	13.98	tig00002369_pilon	-	3611669	1152256	1
1	14503	13.98	tig00002369_pilon	-	3611661	1152264	1
1	14502	13.98	tig00002369_pilon	-	3611634	1152291	1
1	14491	14.52	tig00002369_pilon	-	3605376	1158549	1
1	14490	14.52	tig00002369_pilon	-	3605268	1158657	1
1	14489	14.52	tig00002369_pilon	-	3605037	1158888	1
1	14488	14.52	tig00002369_pilon	-	3604848	1159077	1
1	14487	14.52	tig00002369_pilon	-	3604814	1159111	1
1	14468	14.52	tig00002369_pilon	-	3601349	1162576	1
1	14467	14.52	tig00002369_pilon	-	3601242	1162683	1
1	14466	14.52	tig00002369_pilon	-	3601226	1162699	1
1	14465	14.52	tig00002369_pilon	-	3601193	1162732	1
1	14464	14.52	tig00002369_pilon	-	3601172	1162753	1
1	14463	14.52	tig00002369_pilon	-	3599299	1164626	1
1	14462	14.52	tig00002369_pilon	-	3599116	1164809	1
1	14454	14.52	tig00002369_pilon	-	3587292	1176633	1
1	14453	14.52	tig00002369_pilon	-	3587100	1176825	1
1	14452	14.52	tig00002369_pilon	-	3587048	1176877	1
1	14451	14.52	tig00002369_pilon	-	3586998	1176927	1
1	14450	16.13	tig00002369_pilon	-	3557814	1206111	1
1	14449	16.13	tig00002369_pilon	-	3557712	1206213	1
1	14448	16.13	tig00002369_pilon	-	3557284	1206641	1
1	14447	16.13	tig00002369_pilon	-	3557204	1206721	1
1	14446	16.13	tig00002369_pilon	-	3557128	1206797	1
1	14445	16.13	tig00002369_pilon	-	3553179	1210746	1
1	14444	16.13	tig00002369_pilon	-	3553171	1210754	1
1	14443	16.13	tig00002369_pilon	-	3537871	1226054	1
1	14442	16.13	tig00002369_pilon	-	3537829	1226096	1
1	14441	16.13	tig00002369_pilon	-	3537797	1226128	1
1	14440	16.13	tig00002369_pilon	-	3537794	1226131	1
1	14439	16.13	tig00002369_pilon	-	3537743	1226182	1
1	14438	16.67	tig00002369_pilon	-	3519712	1244213	1
1	14437	16.67	tig00002369_pilon	-	3519521	1244404	1
1	14436	16.67	tig00002369_pilon	-	3519509	1244416	1
1	14435	16.67	tig00002369_pilon	-	3519497	1244428	1
1	14434	16.67	tig00002369_pilon	-	3519477	1244448	1
1	14433	16.67	tig00002369_pilon	-	3519449	1244476	1
1	14432	16.67	tig00002369_pilon	-	3519410	1244515	1
1	14431	16.67	tig00002369_pilon	-	3519403	1244522	1
1	14430	16.67	tig00002369_pilon	-	3519401	1244524	1
1	14429	16.67	tig00002369_pilon	-	3519362	1244563	1
1	14428	16.67	tig00002369_pilon	-	3519359	1244566	1
1	14427	16.67	tig00002369_pilon	-	3519332	1244593	1
1	14426	16.67	tig00002369_pilon	-	3519311	1244614	1
1	14425	16.67	tig00002369_pilon	-	3519275	1244650	1
1	14423	16.67	tig00002369_pilon	-	3519233	1244692	1
1	14422	16.67	tig00002369_pilon	-	3519221	1244704	1
1	14421	16.67	tig00002369_pilon	-	3519218	1244707	1
1	14420	16.67	tig00002369_pilon	-	3519216	1244709	1
1	14419	16.67	tig00002369_pilon	-	3519215	1244710	1
1	14418	16.67	tig00002369_pilon	-	3519209	1244716	1
1	14417	16.67	tig00002369_pilon	-	3519206	1244719	1
1	14416	16.67	tig00002369_pilon	-	3519203	1244722	1
1	14415	16.67	tig00002369_pilon	-	3519194	1244731	1
1	14414	16.67	tig00002369_pilon	-	3519189	1244736	1
1	14413	16.67	tig00002369_pilon	-	3519188	1244737	1
1	14412	16.67	tig00002369_pilon	-	3518981	1244944	1
1	14411	16.67	tig00002369_pilon	-	3518922	1245003	1
1	14410	16.67	tig00002369_pilon	-	3518741	1245184	1
1	14398	16.67	tig00002369_pilon	-	3500187	1263738	1
1	14395	16.67	tig00002369_pilon	-	3476134	1287791	1
1	14394	16.67	tig00002369_pilon	-	3476020	1287905	1
1	14393	17.21	tig00002369_pilon	-	3452298	1311627	1
1	14392	17.21	tig00002369_pilon	-	3452175	1311750	1
1	14391	17.21	tig00002369_pilon	-	3451868	1312057	1
1	14390	17.21	tig00002369_pilon	-	3451847	1312078	1
1	14389	17.21	tig00002369_pilon	-	3451782	1312143	1
1	14388	17.21	tig00002369_pilon	-	3451781	1312144	1
1	14387	17.21	tig00002369_pilon	-	3451684	1312241	1
1	14347	17.74	tig00002369_pilon	-	3394354	1369571	1
1	14346	17.74	tig00002369_pilon	-	3394153	1369772	1
1	14345	17.74	tig00002369_pilon	-	3394077	1369848	1
1	14318	17.74	tig00002369_pilon	-	3356012	1407913	1
1	14317	17.74	tig00002369_pilon	-	3355630	1408295	1
1	14316	18.82	tig00002369_pilon	-	3349562	1414363	1
1	14315	18.82	tig00002369_pilon	-	3349554	1414371	1
1	14314	18.82	tig00002369_pilon	-	3349549	1414376	1
1	14313	18.82	tig00002369_pilon	-	3349515	1414410	1
1	14312	18.82	tig00002369_pilon	-	3349483	1414442	1
1	14311	18.82	tig00002369_pilon	-	3349478	1414447	1
1	14310	18.82	tig00002369_pilon	-	3349430	1414495	1
1	14309	18.82	tig00002369_pilon	-	3349283	1414642	1
1	14308	18.82	tig00002369_pilon	-	3349187	1414738	1
1	14307	18.82	tig00002369_pilon	-	3349133	1414792	1
1	14306	18.82	tig00002369_pilon	-	3349127	1414798	1
1	14305	18.82	tig00002369_pilon	-	3348986	1414939	1
1	14304	18.82	tig00002369_pilon	-	3348959	1414966	1
1	14303	18.82	tig00002369_pilon	-	3348953	1414972	1
1	14302	18.82	tig00002369_pilon	-	3348809	1415116	1
1	14301	18.82	tig00002369_pilon	-	3348578	1415347	1
1	14300	18.82	tig00002369_pilon	-	3348371	1415554	1
1	14299	18.82	tig00002369_pilon	-	3348362	1415563	1
1	14298	18.82	tig00002369_pilon	-	3348338	1415587	1
